	AcoustRDM	CatRDM
0	0.0	0.0
1	0.0625	0.08941663841584578
2	0.25	0.3767765073284368
3	0.5625	0.7319520873006611
4	1.0	1.0
5	0.0625	0.08941663841584578
6	0.0	0.0
7	0.0625	0.09909594488667808
8	0.25	0.30970987402766215
9	0.5625	0.4913643383087538
10	0.25	0.3767765073284368
11	0.0625	0.09909594488667808
12	0.0	0.0
13	0.0625	0.05842892123125828
14	0.25	0.1491340392972322
15	0.5625	0.7319520873006611
16	0.25	0.30970987402766215
17	0.0625	0.05842892123125828
18	0.0	0.0
19	0.0625	0.0208681182323268
20	1.0	1.0
21	0.5625	0.4913643383087538
22	0.25	0.1491340392972322
23	0.0625	0.0208681182323268
24	0.0	0.0
