	AcoustRDM	CatRDM
0	0.0	0.0
1	0.0625	0.020982635616438008
2	0.25	0.23929253488906682
3	0.5625	0.7124782208153011
4	1.0	1.0
5	0.0625	0.020982635616438008
6	0.0	0.0
7	0.0625	0.11855730902980982
8	0.25	0.488923162879064
9	0.5625	0.7312749511036657
10	0.25	0.23929253488906682
11	0.0625	0.11855730902980982
12	0.0	0.0
13	0.0625	0.1259603185890559
14	0.25	0.2609418106821149
15	0.5625	0.7124782208153011
16	0.25	0.488923162879064
17	0.0625	0.1259603185890559
18	0.0	0.0
19	0.0625	0.024309721150293007
20	1.0	1.0
21	0.5625	0.7312749511036657
22	0.25	0.2609418106821149
23	0.0625	0.024309721150293007
24	0.0	0.0
