	AcoustRDM	CatRDM
0	0.0	0.0
1	0.0625	0.013281027447487078
2	0.25	0.13823895815004106
3	0.5625	0.531368882572182
4	1.0	1.0
5	0.0625	0.013281027447487078
6	0.0	0.0
7	0.0625	0.06582388539448009
8	0.25	0.37663652109864654
9	0.5625	0.7827943471599955
10	0.25	0.13823895815004106
11	0.0625	0.06582388539448009
12	0.0	0.0
13	0.0625	0.12755293309706386
14	0.25	0.3946289578137329
15	0.5625	0.531368882572182
16	0.25	0.37663652109864654
17	0.0625	0.12755293309706386
18	0.0	0.0
19	0.0625	0.07346781244131476
20	1.0	1.0
21	0.5625	0.7827943471599955
22	0.25	0.3946289578137329
23	0.0625	0.07346781244131476
24	0.0	0.0
