	AcoustRDM	CatRDM
0	0.0	0.0
1	0.0625	0.008953776134753968
2	0.25	0.5638446762697568
3	0.5625	0.977386725081109
4	1.0	1.0
5	0.0625	0.008953776134753968
6	0.0	0.0
7	0.0625	0.43069230889069593
8	0.25	0.7992437141407602
9	0.5625	0.8197049860751715
10	0.25	0.5638446762697568
11	0.0625	0.43069230889069593
12	0.0	0.0
13	0.0625	0.05651688119055474
14	0.25	0.062052844796756955
15	0.5625	0.977386725081109
16	0.25	0.7992437141407602
17	0.0625	0.05651688119055474
18	0.0	0.0
19	0.0625	0.00012930624955079088
20	1.0	1.0
21	0.5625	0.8197049860751715
22	0.25	0.062052844796756955
23	0.0625	0.00012930624955079088
24	0.0	0.0
