	AcoustRDM	CatRDM
0	0.0	0.0
1	0.0625	0.024094413979334324
2	0.25	0.25117148733031724
3	0.5625	0.7157156352508445
4	1.0	1.0
5	0.0625	0.024094413979334324
6	0.0	0.0
7	0.0625	0.11967888648461178
8	0.25	0.4771715234407122
9	0.5625	0.7136469048617105
10	0.25	0.25117148733031724
11	0.0625	0.11967888648461178
12	0.0	0.0
13	0.0625	0.11890749874219834
14	0.25	0.24883125102267056
15	0.5625	0.7157156352508445
16	0.25	0.4771715234407122
17	0.0625	0.11890749874219834
18	0.0	0.0
19	0.0625	0.023716066396473327
20	1.0	1.0
21	0.5625	0.7136469048617105
22	0.25	0.24883125102267056
23	0.0625	0.023716066396473327
24	0.0	0.0
