	AcoustRDM	CatRDM
0	0.0	0.0
1	0.0625	0.051668411253986454
2	0.25	0.2721947250645733
3	0.5625	0.642855381349449
4	1.0	1.0
5	0.0625	0.051668411253986454
6	0.0	0.0
7	0.0625	0.08668076770063611
8	0.25	0.3300224004502551
9	0.5625	0.59705467959166
10	0.25	0.2721947250645733
11	0.0625	0.08668076770063611
12	0.0	0.0
13	0.0625	0.0784334826664549
14	0.25	0.22874903876447022
15	0.5625	0.642855381349449
16	0.25	0.3300224004502551
17	0.0625	0.0784334826664549
18	0.0	0.0
19	0.0625	0.03929012686249923
20	1.0	1.0
21	0.5625	0.59705467959166
22	0.25	0.22874903876447022
23	0.0625	0.03929012686249923
24	0.0	0.0
